10909343	100	100	30/30	0	0	0
29835457	100	100	30/30	0	0	0
392913607	100	100	30/30	0	3	0
5325280633	100	100	30/30	0	7	1
42336478013	100	100	30/30	0	50	12
272903119607	100	100	30/30	1	751	216
11683458677563	100	100	30/30	1	1309	415
51790308404911	100	100	27/30	2	1913	835
115137038087959	100	100	29/30	0	1504	548
8335465900089539	100	100	5/30	2	1316	569
10380088039872631	100	100	10/30	106	1974	1100
253422413591685001	100	100	2/30	1080	1801	1440
1160633764479964633	100	100	1/30	1276	1276	1276
31625125947164338313	100	100	0/30	2147483647	0	0
454367322351811534933	100	100	0/30	2147483647	0	0
4500000514520012390279	100	100	0/30	2147483647	0	0
