10909343	100	75	30/30	0	1	0
29835457	100	75	30/30	0	0	0
392913607	100	75	30/30	0	3	0
5325280633	100	75	30/30	0	15	1
42336478013	100	75	30/30	0	25	10
272903119607	100	75	27/30	2	1727	379
11683458677563	100	75	30/30	28	1627	368
51790308404911	100	75	21/30	46	1911	853
115137038087959	100	75	29/30	3	1984	533
8335465900089539	100	75	4/30	105	1629	776
10380088039872631	100	75	12/30	24	1890	1027
253422413591685001	100	75	3/30	97	1324	540
1160633764479964633	100	75	0/30	2147483647	0	0
31625125947164338313	100	75	0/30	2147483647	0	0
454367322351811534933	100	75	0/30	2147483647	0	0
4500000514520012390279	100	75	0/30	2147483647	0	0
